codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_latitude;ocorrencia_longitude;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_numero;divulgacao_relatorio_publicado;divulgacao_dia_publicacao;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_tipo;ocorrencia_tipo_categoria;taxonomia_tipo_icao;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;fator_nome;fator_aspecto;fator_condicionante;fator_area;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
46432;46432;46432;46432;46432;ACIDENTE;;;SANTA CRUZ DO ARARI;PA;BRASIL;*;08/10/2012;13:30:00;SIM;FINALIZADA;A-142/CENIPA/2013;SIM;2013-10-21;3;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTNRK;TÁXI AÉREO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711B;P28R;PISTÃO;MONOMOTOR;1248;1248;4.0;1979.0;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;TÁXI AÉREO;SUBSTANCIAL;0;;;;;A-142/CENIPA/2013-RSV003, A-142/CENIPA/2013-RSV001, A-142/CENIPA/2013-RSV002;2013-10-21;2013-12-06;2014-04-28, 2015-08-10, 2017-04-05;com intuito de analisar e propor melhoria nos processos de Gerenciamento da Segurança Operacional, Intensificar a fiscalização das operações da aviação de táxi aéreo, orientando sobre os riscos envolvendo a utilização da pista não homologada pela aviação, Realizar visitoria técnica na empresa Táxi Aéreo Dourado Ltda, PA, principalmente nos aspectos ligados à operação de aeronave em locais não registrados ou não homologados., bem como os processos necessários para elevar as condições de segurança da pista e eventual homologação., na região da cidade de Belém, Atuar junto à Prefeitura Municipal de Santa Cruz do Arari-PA, principalmente quanto à análise do perigo e do gerenciamento do risco.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
46433;46433;46433;46433;46433;INCIDENTE;;;MARICÁ;RJ;BRASIL;*;10/10/2012;20:33:00;;FINALIZADA;;NÃO;;0;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PRFLI;INSTRUÇÃO;AVIÃO;PIPER AIRCRAFT;PA-34-200T;PA34;PISTÃO;BIMOTOR;2073;2073;7.0;1979.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;INSTRUÇÃO;NENHUM;0;;;;;;;;;;;;
46434;46434;46434;46434;46434;ACIDENTE;-24.3302777778;-47.5825;JUQUIÁ;SP;BRASIL;*;03/10/2012;11:00:00;SIM;FINALIZADA;A-600/CENIPA/2018;SIM;2019-04-08;3;1;NÃO;OPERAÇÃO A BAIXA ALTITUDE;OPERAÇÃO A BAIXA ALTITUDE;LALT;PTDOX;;AVIÃO;PIPER AIRCRAFT;PA-25-260;PA25;PISTÃO;MONOMOTOR;1315;1315;1.0;1970.0;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;AGRÍCOLA;DESTRUÍDA;1;PERCEPÇÃO, PLANEJAMENTO DE VOO, SISTEMAS DE APOIO, CONDIÇÕES METEOROLÓGICAS ADVERSAS, SUPERVISÃO GERENCIAL, JULGAMENTO DE PILOTAGEM; ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO; INDIVIDUAL, ORGANIZACIONAL, OPERAÇÃO DA AERONAVE; FATOR HUMANO, FATOR OPERACIONAL;A-600/CENIPA/2018-03, A-600/CENIPA/2018-01, A-600/CENIPA/2018-02;2019-04-08;nan;nan;ATUAR JUNTO à AEROAGRíCOLA CAIçARA LTDA., A FIM DE REAVALIAR A ADEQUABILIDADE E O CUMPRIMENTO DO MANUAL DO GERENCIAMENTO DA SEGURANçA OPERACIONAL (MGSO) DAQUELE OPERADOR, SOBRETUDO NO QUE DIZ RESPEITO AOS MECANISMOS DE PLANEJAMENTO DE VOO E DE SUPERVISãO GERENCIAL DAS OPERAçõES AEROAGRíCOLAS., SOBRETUDO NO QUE DIZ RESPEITO AO PROCESSO DE GERENCIAMENTO DO RISCO ADOTADO NA APLICAçãO DE DEFENSIVO AGRíCOLA., A FIM DE QUE AQUELE OPERADOR APERFEIçOE SEUS MECANISMOS ADMINISTRATIVOS DE ESCRITURAçãO DOS SERVIçOS DE MANUTENçãO EXECUTADOS EM SUAS AERONAVES, COMO FORMA DE PREVENIR OCORRêNCIAS AERONáUTICAS., A FIM DE QUE AQUELE OPERADOR APRIMORE O SISTEMA DE GERENCIAMENTO DE SEGURANçA OPERACIONAL (SGSO) ADOTADO PELA EMPRESA;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
46435;46435;46435;46435;46435;ACIDENTE;25.3608333333;50.0158333333;PALMEIRA;PR;BRASIL;*;21/08/2012;20:15:00;SIM;FINALIZADA;A-555/CENIPA/2015;SIM;2016-06-03;3;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PPGGR;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2.0;1992.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;INSTRUÇÃO;SUBSTANCIAL;1;PROCESSOS ORGANIZACIONAIS, FORMAÇÃO, INSTRUÇÃO, ORGANIZAÇÃO DO TRABALHO, PLANEJAMENTO GERENCIAL, SUPERVISÃO GERENCIAL, MANUTENÇÃO DE AERONAVE, COMUNICAÇÃO, ESQUECIMENTO DO PILOTO, CAPACITAÇÃO E TREINAMENTO, APLICAÇÃO DE COMANDOS, POUCA EXPERIÊNCIA DO PILOTO;ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE, ORGANIZACIONAL, OPERAÇÃO DA AERONAVE, PSICOSSOCIAL;FATOR HUMANO, FATOR OPERACIONAL;A-555/CENIPA/2015 - 01, A-555/CENIPA/2015 - 02, A-555/CENIPA/2015 - 03;2016-06-03;2016-07-14;2016-12-19;ou a emissão de legislação que a substitua, Expedir um alerta aos aeroclubes, antes de cada decolagem., de forma a apurar a observância prática dos requisitos necessários à manutenção do Certificado de Atividade Aérea desta organização, assim como a obrigatoriedade do cálculo prático do peso e de CG da aeronave, escolas e centros de treinamento sobre o cumprimento no disposto na seção 91.423  Pesagem e Balanceamento de Aeronaves, respeitando-se o que prevê os manuais dos fabricantes das aeronaves utilizadas, sobretudo no que tange à atuação da coordenação da instrução aérea, de forma a garantir a confiabilidade das respectivas fichas., do RBHA 91, cuidando para que as alturas mínimas de realização e recuperação das manobras e exercícios previstos estejam explícitas na descrição destes, Realizar gestões junto ao Aeroclube de Ponta Grossa, Realizar a revisão do MCA 58-3, da gestão de segurança operacional e da aplicação dos preceitos do MGSO da organização.;CUMPRIDA DE FORMA ALTERNATIVA, CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
46436;46436;46436;46436;46436;ACIDENTE;-8.5163888889;-49.3708333333;ARAGUAÍNA;TO;BRASIL;*;22/08/2012;13:00:00;;FINALIZADA;ENCERRADA NO RAI;NÃO;;0;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PRHSD;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6.0;2011.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;ARAGUACEMA;FORA DE AERODROMO;DECOLAGEM;PRIVADA;SUBSTANCIAL;0;;;;;;;;;;;;
46437;46437;46437;46437;46437;ACIDENTE;-19.9644444444;-53.1180555556;ÁGUA CLARA;MS;BRASIL;*;25/08/2012;11:30:00;SIM;FINALIZADA;A-034/CENIPA/2013;SIM;2013-12-30;2;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTOKZ;PARTICULAR;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;MONOMOTOR;1724;1724;6.0;1979.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;TRÊS LAGOAS;FAZENDA VISTA ALEGRE;CRUZEIRO;PRIVADA;DESTRUÍDA;3;ATITUDE, ENFERMIDADE, INDISCIPLINA DE VOO;ASPECTO MÉDICO, ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO; INDIVIDUAL, OPERAÇÃO DA AERONAVE;FATOR HUMANO, FATOR OPERACIONAL;A-034/CENIPA/2013  RSV 001, A-034/CENIPA/2013  RSV 002;2013-12-30;2015-09-03;2015-11-26;incrementando a atividade de fiscalização in loco a fim de evitar que tripulantes incapacitados exerçam funções a bordo em aeronaves de matrícula brasileira., Rever o processo de fiscalização de tripulantes, palestras e atividades afins voltadas aos proprietários, Divulgar o conteúdo do presente relatório durante a realização de seminários, operadores e exploradores de aeronaves privadas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
46438;46438;46438;46438;46438;INCIDENTE GRAVE;;;ARTUR NOGUEIRA;SP;BRASIL;*;02/10/2012;11:10:00;SIM;FINALIZADA;IG-502/CENIPA/2019;SIM;2019-05-16;0;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PTKZA;;AVIÃO;CIA AERONAUTICA PAULISTA;CAP-4;PAUL;PISTÃO;MONOMOTOR;587;587;2.0;0.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;INSTRUÇÃO;LEVE;0;;;;;;;;;;;;
46439;46439;46439;46439;46439;INCIDENTE GRAVE;;;PORTO ALEGRE;RS;BRASIL;SSBN;03/10/2012;16:33:00;;FINALIZADA;ENCERRADA NO RAI;NÃO;;0;1;NÃO;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G;PPGEH;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;3.0;1991.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;SUBSTANCIAL;0;;;;;;;;;;;;
46443;46443;46443;46443;46443;INCIDENTE GRAVE;-3.3802777778;-64.7252777778;TEFÉ;AM;BRASIL;SBTF;03/10/2012;12:35:00;SIM;FINALIZADA;IG-140/CENIPA/2013;SIM;2015-05-15;1;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PPITZ;TÁXI AÉREO;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;3969;3969;11.0;1996.0;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;COARI;TEFÉ;CRUZEIRO;TÁXI AÉREO;SUBSTANCIAL;0;SUPERVISÃO GERENCIAL, APLICAÇÃO DE COMANDOS, MANUTENÇÃO DE AERONAVE, JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE, OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;IG-140/CENIPA/2013  001;2015-05-15;2015-07-30;2015-12-15;realizar Auditoria Técnica no operador com objetivo de aperfeiçoar os processos de operação e manutenção aplicados., Tendo em vista os fatos observados durante a investigação e relatados no corpo deste relatório;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
46444;46444;46444;46444;46444;ACIDENTE;-7.7225;-67.0283333333;PAUINI;AM;BRASIL;SWUI;22/08/2012;18:51:00;SIM;FINALIZADA;A-049/CENIPA/2013;SIM;2013-09-19;3;1;NÃO;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO;GCOL;PTRPU;TÁXI AÉREO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720D;PA32;PISTÃO;MONOMOTOR;1633;1633;7.0;1984.0;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;TÁXI AÉREO;SUBSTANCIAL;1;SUPERVISÃO GERENCIAL, INFRAESTRUTURA AEROPORTUÁRIA, INDISCIPLINA DE VOO;DESEMPENHO DO SER HUMANO, INFRAESTRUTURA AEROPORTUÁRIA; OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;A-049/CENIPA/2013-RSV002, A-049/CENIPA/2013-RSV003, A-049/CENIPA/2013-RSV001;2013-09-19;2013-12-05, 2015-04-14;2015-08-24, 2017-01-26, 2015-12-15;Realizar gestões junto a Prefeitura Municipal de Pauini com a finalidade de garantir que ocorram ações concretas que garantam a mínima condição de operação com segurança no aeródromo sob a administração da Prefeitura., palestras e atividades afins, Realizar gestões junto a Ortiz Táxi-Aéreo Ltda. com a finalidade de garantir que haja uma avaliação do risco pela administração em todas as operações aéreas realizadas da empresa., operadores e exploradores de aeronaves., voltadas aos proprietários, Divulgar o conteúdo do presente relatório durante a realização de seminários;NÃO CUMPRIDA, CUMPRIDA DE FORMA ALTERNATIVA, CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
46445;46445;46445;46445;46445;INCIDENTE GRAVE;-21.1505555556;-48.9902777778;CATANDUVA;SP;BRASIL;SDCD;07/10/2012;15:30:00;SIM;FINALIZADA;IG-141/CENIPA/2013;SIM;2014-10-14;3;1;NÃO;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP;PTELG;PARTICULAR;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6.0;1977.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS;CATANDUVA;POUSO;PRIVADA;SUBSTANCIAL;0;MANUTENÇÃO DE AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL;IG-141/CENIPA/2013 - 003, IG-141/CENIPA/2013 - 002, IG-141/CENIPA/2013 - 001;2014-10-14;2014-12-15;2015-03-27, nan;bem como alertar quanto ao perigo na utilização de mão de obra não homologada para serviços de manutenção., a fim de alertar mecânicos e inspetores sobre o problema da montagem invertida do parafuso do amortecedor de vibrações laterais do trem auxiliar e sua respectiva porca., Dar ampla divulgação do presente relatório entre seus associados, Divulgar o presente relatório às oficinas que possuem a aeronave EMB-810/PA-34 em seus adendos, a fim de alertar sobre o problema da montagem invertida do parafuso do amortecedor de vibrações laterais do trem auxiliar e sua respectiva porca;AGUARDANDO RESPOSTA, CUMPRIDA;ANAC, ABAG, APPA;ASSOCIAÇÃO BRASILEIRA DE AVIAÇÃO GERAL, AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL, ASSOCIAÇÃO DE PILOTOS E PROPRIETÁRIOS DE AERONAVES
46446;46446;46446;46446;46446;INCIDENTE GRAVE;-25.0022222222;-53.5019444444;CASCAVEL;PR;BRASIL;SBCA;28/09/2012;17:30:00;SIM;FINALIZADA;IG-537/CENIPA/2014;SIM;2016-06-03;1;1;SIM;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;LOC-G, RE;PRATH;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75.0;2012.0;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;REGULAR;LEVE;0;COORDENAÇÃO DE CABINE, CONDIÇÕES METEOROLÓGICAS ADVERSAS, INFRAESTRUTURA AEROPORTUÁRIA, APLICAÇÃO DE COMANDOS, JULGAMENTO DE PILOTAGEM; DESEMPENHO DO SER HUMANO, INFRAESTRUTURA AEROPORTUÁRIA; OPERAÇÃO DA AERONAVE; FATOR OPERACIONAL;IG-537/CENIPA/2014 - 01;2016-06-03;2016-07-14;2017-02-13;responsável pela administração do Aeródromo de Cascavel, constantes do RBAC 154., a fim de que sejam observados os requisitos para faixa de pista e acostamento, Atuar junto à Companhia de Engenharia de Transporte e Transito (CETTRANS);CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
46448;46448;46448;46448;46448;INCIDENTE GRAVE;-17.7247222222;-48.61;CALDAS NOVAS;GO;BRASIL;*;11/10/2012;11:00:00;SIM;FINALIZADA;IG-181/CENIPA/2013;SIM;2014-01-08;0;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PPKBP;INSTRUÇÃO;AVIÃO;XAVANTE;A-122-B;A122;PISTÃO;MONOMOTOR;840;840;2.0;1978.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;INSTRUÇÃO;NENHUM;0;;;;;;;;;;;;
46449;46449;46449;46449;46449;ACIDENTE;29.9938888889;51.2038888889;PORTO ALEGRE;RS;BRASIL;SBPA;10/10/2012;19:13:00;SIM;FINALIZADA;A - 559/CENIPA/2015;SIM;2016-06-03;0;1;SIM;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;LOC-G, RE;PRPNM;PARTICULAR;AVIÃO;EMBRAER;EMB-500;E50P;JATO;BIMOTOR;4750;4750;6.0;2010.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;SUBSTANCIAL;0;APLICAÇÃO DE COMANDOS, CONDIÇÕES METEOROLÓGICAS ADVERSAS; DESEMPENHO DO SER HUMANO; OPERAÇÃO DA AERONAVE; FATOR OPERACIONAL;;;;;;;;
46450;46450;46450;46450;46450;INCIDENTE GRAVE;-5.1175;-60.3644444444;NOVO ARIPUANÃ;AM;BRASIL;*;24/09/2012;13:30:00;SIM;FINALIZADA;IG-085/CENIPA/2013;SIM;2014-10-02;0;1;NÃO;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA | POUSO SEM TREM;ARC;PTREI;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-721D;P32R;PISTÃO;MONOMOTOR;1633;1633;6.0;1981.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;MANICORÉ;BORBA;POUSO;PRIVADA;SUBSTANCIAL;0;ESQUECIMENTO DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;;;;;;;;
46451;46451;46451;46451;46451;INCIDENTE GRAVE;-22.8591666667;-47.1080555556;CAMPINAS;SP;BRASIL;SDAM;30/08/2012;19:25:00;SIM;FINALIZADA;IG-550/CENIPA/2015;SIM;2016-04-22;1;1;NÃO;POUSO EM LOCAL NÃO PREVISTO;OUTROS | POUSO EM LOCAL NÃO PREVISTO;OTHR;PRDGO;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-31T;PAY2;TURBOÉLICE;BIMOTOR;4082;4082;7.0;1981.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;SANTOS DUMONT;AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS;POUSO;PRIVADA;NENHUM;0;PLANEJAMENTO DE VOO, COORDENAÇÃO DE TRÁFEGO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE, PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO;FATOR OPERACIONAL;IG-550/CENIPA/2015 - 01;2016-04-25;2016-05-18;2016-08-16;Realizar um estudo sobre a viabilidade de implementação de um sistema que restrinja a aceitação de planos de voos para aeródromos de destino e/ou de alternativa que se encontrem interditados.;CUMPRIDA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
46452;46452;46452;46452;46452;INCIDENTE;;;LONDRINA;PR;BRASIL;SBLO;23/09/2012;21:26:00;;FINALIZADA;;NÃO;;0;1;NÃO;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP;PTVHV;INSTRUÇÃO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;MONOMOTOR;1157;1157;4.0;1989.0;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;INSTRUÇÃO;NENHUM;0;;;;;;;;;;;;
46453;46453;46453;46453;46453;INCIDENTE;;;NAVEGANTES;SC;BRASIL;SBNF;25/09/2012;13:00:00;;FINALIZADA;;NÃO;;0;1;NÃO;F.O.D.;OUTROS | F.O.D.;OTHR;PRWJM;REGULAR;AVIÃO;BOEING COMPANY;737-36Q;B733;JATO;BIMOTOR;63276;63276;156.0;1997.0;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;OPERAÇÃO DE SOLO;REGULAR;LEVE;0;;;;;;;;;;;;
46454;46454;46454;46454;46454;INCIDENTE;;;BOA VISTA;RR;BRASIL;SBBV;26/09/2012;10:00:00;;FINALIZADA;;NÃO;;0;1;NÃO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP;N5527L;;AVIÃO;CESSNA AIRCRAFT;152;;PISTÃO;MONOMOTOR;0;0;0.0;1980.0;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIÃO;;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;;SUBSTANCIAL;0;;;;;;;;;;;;
46455;46455;46455;46455;46455;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;*;26/09/2012;13:37:00;;FINALIZADA;;NÃO;;0;1;NÃO;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;SCF-NP;PRAYH;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;TURBOEIXO;BIMOTOR;52290;52290;125.0;2010.0;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0;;;;;;;;;;;;
46456;46456;46456;46456;46456;INCIDENTE;;;SALVADOR;BA;BRASIL;SBSV;27/09/2012;22:30:00;;FINALIZADA;;NÃO;;0;1;NÃO;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP;PTRTG;TÁXI AÉREO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;7.0;1983.0;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;TÁXI AÉREO;NENHUM;0;;;;;;;;;;;;
46471;46471;46471;46471;46471;INCIDENTE;;;CARAUARI;AM;BRASIL;SWCA;10/10/2012;15:30:00;;FINALIZADA;;NÃO;;0;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PRHRU;PARTICULAR;HELICÓPTERO;SIKORSKY AIRCRAFT;S-61N;S61;TURBOEIXO;BIMOTOR;8618;8618;21.0;1972.0;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0;;;;;;;;;;;;
46472;46472;46472;46472;46472;INCIDENTE;;;JOÃO PESSOA;PB;BRASIL;SBJP;10/10/2012;17:59:00;;FINALIZADA;;NÃO;;0;1;NÃO;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP;PPAML;PARTICULAR;AVIÃO;RAYTHEON AIRCRAFT;400A;BE40;JATO;BIMOTOR;7303;7303;10.0;2004.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;PRIVADA;NENHUM;0;;;;;;;;;;;;
46473;46473;46473;46473;46473;INCIDENTE;;;CAMPOS DOS GOYTACAZES;RJ;BRASIL;SBCP;01/10/2012;22:19:00;;FINALIZADA;;NÃO;;0;1;NÃO;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP;PTRAC;PARTICULAR;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6.0;1980.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;LEVE;0;;;;;;;;;;;;
46474;46474;46474;46474;46474;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;05/10/2012;19:38:00;;FINALIZADA;;NÃO;;0;1;NÃO;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP;PRAUL;PARTICULAR;AVIÃO;BEECH AIRCRAFT;58;BE58;PISTÃO;BIMOTOR;2449;2449;6.0;1983.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0;;;;;;;;;;;;
46475;46475;46475;46475;46475;INCIDENTE;;;CAMPO GRANDE;MS;BRASIL;SBCG;09/10/2012;17:22:00;;FINALIZADA;;NÃO;;0;1;NÃO;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL;PRFPM;ADMINISTRAÇÃO DIRETA;HELICÓPTERO;EUROCOPTER FRANCE;EC 120 B;EC20;TURBOEIXO;MONOMOTOR;1715;1715;5.0;2002.0;BRASIL;BRASIL;HELICÓPTERO;ADMINISTRAÇÃO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;POLICIAL;NENHUM;0;;;;;;;;;;;;
